0.9,0,0.1,0,
0.786364,0.0818182,0.0845455,0.00181818,
0.701254,0.129287,0.079575,0.00446667,
0.63047,0.160866,0.0802463,0.00736054,
0.567203,0.185054,0.084236,0.0102874,
0.508116,0.205787,0.0903886,0.0131881,
0.451691,0.224714,0.0981,0.0160625,
0.397473,0.242268,0.107016,0.0189265,
0.345671,0.258205,0.116877,0.0217914,
0.296906,0.271925,0.127436,0.0246546,
0.252005,0.282708,0.138422,0.0274964,
0.211798,0.289918,0.149527,0.0302806,
0.176924,0.293177,0.160413,0.0329579,
0.147677,0.292481,0.170741,0.0354736,
0.123937,0.288221,0.180203,0.0377746,
0.1052,0.281112,0.188554,0.0398178,
0.0907039,0.272031,0.195641,0.0415755,
0.0795887,0.261853,0.201403,0.0430373,
0.0710396,0.251309,0.205865,0.0442094,
0.0643749,0.240931,0.209117,0.0451104,
0.0590734,0.231045,0.211286,0.0457667,
0.0547602,0.221818,0.212517,0.046208,
0.0511741,0.213304,0.212953,0.0464646,
0.0481351,0.205493,0.212729,0.0465649,
0.0455175,0.19834,0.211964,0.0465345,
0.0432319,0.191785,0.210762,0.0463958,
0.0412131,0.185765,0.209209,0.0461683,
0.0394124,0.180218,0.207381,0.0458684,
0.0377928,0.175091,0.205336,0.0455101,
0.0363251,0.170332,0.203126,0.0451052,
0.0349868,0.165898,0.200792,0.0446633,
0.0337595,0.161752,0.198367,0.0441928,
0.0326284,0.157861,0.195879,0.0437004,
0.0315815,0.154196,0.19335,0.0431918,
0.0306085,0.150734,0.190798,0.0426716,
0.0297013,0.147455,0.188238,0.0421437,
0.0288526,0.144339,0.18568,0.0416113,
0.0280565,0.141372,0.183135,0.041077,
0.0273077,0.13854,0.18061,0.040543,
0.0266019,0.135832,0.178111,0.040011,
0.0259352,0.133238,0.175642,0.0394824,
0.0253041,0.130749,0.173207,0.0389585,
0.0247057,0.128357,0.170808,0.0384401,
0.0241374,0.126056,0.168448,0.037928,
0.0235968,0.123839,0.166127,0.0374228,
0.0230819,0.121701,0.163848,0.0369249,
0.0225908,0.119637,0.161611,0.0364347,
0.0221217,0.117643,0.159415,0.0359525,
0.0216733,0.115715,0.157261,0.0354783,
0.021244,0.113849,0.155149,0.0350124,
