0.9,0.1,
0.802302,0.146698,
0.693098,0.206985,
0.577637,0.275372,
0.466781,0.340824,
0.372558,0.391258,
0.30018,0.421533,
0.246189,0.435223,
0.20494,0.438049,
0.172691,0.433768,
0.14718,0.424619,
0.126879,0.412083,
0.110663,0.39723,
0.0976637,0.380863,
0.0871966,0.363595,
0.0787221,0.345894,
0.0718142,0.328112,
0.0661382,0.310511,
0.061432,0.293279,
0.0574911,0.276552,
0.0541561,0.260419,
0.0513024,0.24494,
0.0488327,0.230148,
0.0466711,0.216059,
0.0447575,0.202676,
0.0430448,0.18999,
0.0414956,0.177988,
0.0400803,0.166649,
0.0387751,0.155951,
0.0375611,0.145869,
0.036423,0.136377,
0.0353485,0.127448,
0.0343277,0.119054,
0.0333524,0.11117,
0.032416,0.103769,
0.0315134,0.0968243,
0.03064,0.0903126,
0.0297923,0.0842095,
0.0289675,0.0784921,
0.0281632,0.0731385,
0.0273776,0.0681277,
0.026609,0.0634397,
0.0258563,0.0590556,
0.0251185,0.0549572,
0.0243949,0.0511275,
0.0236848,0.0475502,
0.0229878,0.0442099,
0.0223036,0.0410921,
0.021632,0.038183,
0.0209728,0.0354697,
